,day,notLoginDays,dayVitality,intervalMean,isLoss
57002,1.0,1,1.0,18.0,1
57003,5.0,1,0.0,0.06666666666666668,0
57004,1.0,4,0.0,5.5,1
57005,1.0,4,1.0,1.0,1
57006,2.0,4,1.0,0.0,0
57007,2.0,4,2.0,0.0,1
57008,2.0,4,2.0,0.625,0
57009,1.0,4,0.0,11.0,1
57010,1.0,4,0.0,2.0,1
57011,1.0,4,0.0,18.0,1
57012,1.0,4,1.0,0.4444444444444444,1
57013,1.0,4,0.0,2.0,0
57014,2.0,2,2.0,0.6666666666666666,1
57015,2.0,2,2.0,0.0,1
57016,4.0,2,4.0,0.0,0
57017,1.0,2,0.0,5.5,0
57018,1.0,2,0.0,6.0,0
57019,6.0,0,5.0,0.0,0
57020,6.0,0,6.0,0.0,0
57021,6.0,0,6.0,0.0,0
57022,6.0,0,4.0,0.0,0
57023,6.0,0,6.0,0.0,0
57024,6.0,0,1.0,0.16666666666666666,0
57025,2.0,0,0.0,1.0,0
57026,6.0,0,6.0,0.0,0
57027,6.0,0,6.0,0.0625,0
57028,3.0,0,0.0,0.8888888888888888,0
57029,6.0,0,1.0,0.0,0
57030,3.0,0,2.0,0.5454545454545454,0
57031,5.0,0,2.0,0.21428571428571427,0
57032,6.0,0,6.0,0.0,0
57033,4.0,0,0.0,1.8,0
57034,5.0,0,4.0,0.13333333333333333,0
57035,6.0,0,6.0,0.0,0
57036,1.0,0,1.0,18.0,1
57037,6.0,0,0.0,0.0,0
57038,5.0,0,5.0,0.13333333333333333,0
57039,6.0,0,5.0,0.13333333333333333,0
57040,6.0,0,3.0,0.0,0
57041,5.0,0,1.0,0.6,0
57042,3.0,0,3.0,0.3076923076923077,0
57043,1.0,1,0.0,18.0,1
57044,3.0,1,0.0,0.75,0
57045,1.0,1,0.0,18.0,1
57046,1.0,1,0.0,2.6666666666666665,0
57047,1.0,1,0.0,12.0,1
57048,3.0,1,0.0,1.5,0
57049,1.0,1,0.0,6.5,1
57050,4.0,1,4.0,0.2307692307692308,0
57051,6.0,0,6.0,0.0,0
57052,6.0,0,6.0,0.0,0
57053,6.0,0,6.0,0.0,0
57054,6.0,0,6.0,0.0,0
57055,6.0,0,6.0,0.0,0
57056,6.0,0,6.0,0.0,0
57057,6.0,0,6.0,0.0,0
57058,6.0,0,6.0,0.0,0
57059,6.0,0,2.0,0.0625,0
57060,6.0,0,6.0,0.0,0
57061,6.0,0,6.0,0.0,0
57062,6.0,0,6.0,0.0,0
57063,6.0,0,6.0,0.0,0
57064,6.0,0,6.0,0.0,0
57065,6.0,0,6.0,0.0,0
57066,1.0,0,1.0,3.333333333333333,0
57067,6.0,0,6.0,0.0,0
57068,6.0,0,6.0,0.0,0
57069,6.0,0,6.0,0.0,0
57070,2.0,0,0.0,2.4,0
57071,5.0,0,6.0,0.0625,0
57072,6.0,0,6.0,0.0,0
57073,6.0,0,6.0,0.0,0
57074,6.0,0,6.0,0.0,0
57075,6.0,0,6.0,0.0,0
57076,5.0,0,5.0,0.0,0
57077,5.0,0,5.0,0.0625,0
57078,6.0,0,6.0,0.21428571428571427,0
57079,6.0,0,6.0,0.0,0
57080,6.0,0,6.0,0.0,0
57081,6.0,0,6.0,0.0,0
57082,6.0,0,6.0,0.0,0
57083,6.0,0,6.0,0.0,0
57084,6.0,0,6.0,0.0,0
57085,6.0,0,6.0,0.0,0
57086,6.0,0,6.0,0.0,0
57087,6.0,0,6.0,0.0,0
57088,6.0,0,6.0,0.0,0
57089,6.0,0,6.0,0.0,0
57090,5.0,0,5.0,0.0625,0
57091,3.0,0,1.0,0.4166666666666667,1
57092,6.0,0,6.0,0.0,0
57093,6.0,0,6.0,0.0,0
57094,6.0,0,6.0,0.0,0
57095,6.0,0,6.0,0.0,0
57096,6.0,0,6.0,0.0,0
57097,6.0,0,5.0,0.0625,0
57098,1.0,0,0.0,18.0,1
57099,5.0,0,5.0,0.13333333333333333,0
57100,4.0,0,0.0,0.7777777777777778,0
57101,6.0,0,0.0,0.0,0
57102,6.0,0,6.0,0.0,0
57103,6.0,0,6.0,0.0,0
57104,6.0,0,6.0,0.8888888888888888,0
57105,6.0,0,6.0,0.0,0
57106,6.0,0,6.0,0.0,0
57107,6.0,0,6.0,0.0,0
57108,6.0,0,6.0,0.0,0
57109,4.0,2,6.0,0.3636363636363637,0
57110,6.0,0,6.0,0.0,0
57111,6.0,0,6.0,0.0,0
57112,6.0,0,6.0,0.0625,0
57113,6.0,0,6.0,0.0,0
57114,6.0,0,6.0,0.0,0
57115,6.0,0,4.0,0.0,0
57116,6.0,0,6.0,0.0,0
57117,6.0,0,4.0,0.21428571428571427,0
57118,6.0,0,6.0,0.0,0
57119,6.0,0,6.0,0.0,0
57120,6.0,0,6.0,0.0,0
57121,6.0,0,6.0,0.0,0
57122,6.0,0,6.0,0.0,0
57123,6.0,0,6.0,0.0,0
57124,6.0,0,5.0,0.0,0
57125,5.0,0,0.0,0.15384615384615385,0
57126,6.0,0,6.0,0.0,0
57127,6.0,0,6.0,0.0,0
57128,6.0,0,6.0,0.0,0
57129,6.0,0,6.0,0.0,0
57130,2.0,0,0.0,2.0,0
57131,5.0,0,0.0,0.3636363636363637,0
57132,6.0,0,6.0,0.0,0
57133,6.0,0,6.0,0.0,0
57134,6.0,0,6.0,0.0,0
57135,6.0,0,6.0,0.13333333333333333,0
57136,6.0,0,6.0,0.0625,0
57137,6.0,0,6.0,0.0625,0
57138,6.0,0,6.0,0.0,0
57139,6.0,0,6.0,0.0,0
57140,6.0,0,6.0,0.0,0
57141,6.0,0,6.0,0.0,0
57142,6.0,0,6.0,0.0,0
57143,4.0,0,4.0,0.2857142857142857,0
57144,6.0,0,6.0,0.0,0
57145,6.0,0,6.0,0.13333333333333333,0
57146,6.0,0,6.0,0.0,0
57147,6.0,0,6.0,0.0,0
57148,5.0,0,2.0,0.2307692307692308,0
57149,4.0,0,1.0,0.6,0
57150,6.0,0,6.0,0.0,0
57151,6.0,0,6.0,0.0,0
57152,4.0,0,5.0,1.5,0
57153,6.0,0,6.0,0.0,0
57154,6.0,0,4.0,0.0625,0
57155,5.0,0,6.0,0.0625,0
57156,6.0,0,6.0,0.0,0
57157,6.0,0,6.0,0.0,0
57158,4.0,1,5.0,0.06666666666666668,0
57159,6.0,0,6.0,0.0,0
57160,6.0,0,6.0,0.0,0
57161,6.0,0,6.0,0.0,0
57162,1.0,0,1.0,4.333333333333333,0
57163,5.0,0,5.0,0.2307692307692308,0
57164,6.0,0,6.0,0.0,0
57165,6.0,0,6.0,0.0,0
57166,6.0,0,5.0,0.0,0
57167,6.0,0,6.0,0.0,0
57168,6.0,0,6.0,0.0,0
57169,6.0,0,6.0,0.0,0
57170,6.0,0,6.0,0.0,0
57171,3.0,0,0.0,0.6666666666666666,0
57172,6.0,0,6.0,0.0,0
57173,6.0,0,2.0,0.0,0
57174,6.0,0,6.0,0.0,0
57175,6.0,0,6.0,0.0,0
57176,6.0,0,6.0,0.0,0
57177,6.0,0,6.0,0.0,0
57178,6.0,0,6.0,0.0,0
57179,6.0,0,6.0,0.0,0
57180,6.0,0,6.0,0.0,0
57181,3.0,0,1.0,0.5454545454545454,0
57182,6.0,0,6.0,0.0,0
57183,6.0,0,6.0,0.0,0
57184,6.0,0,6.0,1.8333333333333333,0
57185,6.0,0,6.0,0.0,0
57186,1.0,0,0.0,18.0,1
57187,1.0,0,1.0,0.8888888888888888,0
57188,1.0,0,0.0,18.0,1
57189,6.0,0,6.0,0.0,0
57190,6.0,0,6.0,0.0,0
57191,6.0,0,5.0,0.0,0
57192,6.0,0,6.0,0.0,0
57193,5.0,0,6.0,0.21428571428571427,0
57194,6.0,0,6.0,0.0,0
57195,5.0,0,4.0,0.13333333333333333,0
57196,6.0,0,6.0,0.0,0
57197,6.0,0,6.0,0.0,0
57198,6.0,0,6.0,0.0,0
57199,6.0,0,6.0,0.0,0
57200,6.0,0,6.0,0.0,0
57201,6.0,0,6.0,0.0,0
57202,6.0,0,6.0,0.0,0
57203,6.0,0,6.0,0.0625,0
57204,6.0,0,5.0,0.0625,0
57205,6.0,0,6.0,0.0625,0
57206,6.0,0,6.0,0.0,0
57207,6.0,0,6.0,0.21428571428571427,0
57208,2.0,0,1.0,4.0,0
57209,6.0,0,6.0,0.0,0
57210,6.0,0,6.0,0.0,0
57211,6.0,0,4.0,0.0625,0
57212,6.0,0,6.0,0.0,0
57213,5.0,0,0.0,0.0625,0
57214,6.0,0,6.0,0.0,0
57215,6.0,0,6.0,0.0625,0
57216,6.0,0,6.0,0.0,0
57217,6.0,0,6.0,0.0,0
57218,6.0,0,6.0,0.0,0
57219,6.0,0,6.0,0.13333333333333333,0
57220,6.0,0,6.0,0.0,0
57221,5.0,0,0.0,1.0,0
57222,6.0,0,6.0,0.0,0
57223,6.0,0,6.0,0.0,0
57224,6.0,0,6.0,0.0,0
57225,2.0,0,0.0,2.75,0
57226,6.0,0,6.0,0.0,0
57227,6.0,0,6.0,0.0625,0
57228,6.0,0,6.0,0.0,0
57229,6.0,0,6.0,0.0,0
57230,6.0,0,6.0,0.0,0
57231,6.0,0,6.0,0.0,0
57232,6.0,0,6.0,0.0,0
57233,6.0,0,6.0,0.0,0
57234,4.0,0,4.0,0.13333333333333333,0
57235,6.0,0,6.0,0.0,0
57236,6.0,0,6.0,0.0,0
57237,6.0,0,6.0,0.0,0
57238,6.0,0,6.0,0.0,0
57239,6.0,0,6.0,0.0,0
57240,6.0,0,6.0,0.0,0
57241,6.0,0,6.0,0.0,0
57242,6.0,0,5.0,0.21428571428571427,0
57243,1.0,0,0.0,18.0,0
57244,6.0,0,6.0,0.0,0
57245,6.0,0,6.0,0.0,0
57246,6.0,0,5.0,0.21428571428571427,0
57247,6.0,0,6.0,0.0,0
57248,6.0,0,6.0,0.0625,0
57249,6.0,0,6.0,0.0,0
57250,6.0,0,6.0,0.0,0
57251,6.0,0,6.0,0.0,0
57252,4.0,0,0.0,0.7,0
57253,4.0,0,4.0,0.15384615384615385,0
57254,6.0,0,6.0,0.0,0
57255,6.0,0,6.0,0.0,0
57256,6.0,0,6.0,0.0,0
57257,6.0,0,6.0,0.0,0
57258,6.0,0,6.0,0.0,0
57259,6.0,0,6.0,0.0,0
57260,6.0,0,6.0,0.0,0
57261,6.0,0,6.0,0.0,0
57262,5.0,0,6.0,0.13333333333333333,0
57263,6.0,0,6.0,0.0625,0
57264,6.0,0,6.0,0.0,0
57265,6.0,0,6.0,0.0,0
57266,5.0,0,6.0,0.0625,0
57267,5.0,1,4.0,0.0,0
57268,6.0,0,6.0,0.0,0
57269,6.0,0,4.0,0.13333333333333333,0
57270,6.0,0,6.0,0.0,0
57271,6.0,0,6.0,0.0,0
57272,6.0,0,6.0,0.0,0
57273,6.0,0,6.0,0.0,0
57274,6.0,0,6.0,0.0,0
57275,6.0,0,6.0,0.0,0
57276,6.0,0,6.0,0.0,0
57277,6.0,0,5.0,0.25,0
57278,6.0,0,6.0,0.0,0
57279,6.0,0,6.0,0.0625,0
57280,6.0,0,6.0,0.0,0
57281,4.0,0,4.0,0.13333333333333333,0
57282,4.0,0,1.0,0.4166666666666667,0
57283,6.0,0,6.0,0.0,0
57284,1.0,0,1.0,3.25,1
57285,6.0,0,6.0,0.0,0
57286,6.0,0,6.0,0.0,0
57287,6.0,0,6.0,0.0,0
57288,6.0,0,6.0,0.0,0
57289,6.0,0,6.0,0.0,0
57290,2.0,4,3.0,0.0,0
57291,6.0,0,6.0,0.0625,0
57292,6.0,0,6.0,0.0,0
57293,5.0,0,5.0,0.0625,0
57294,6.0,0,6.0,0.0,0
57295,4.0,0,4.0,0.6666666666666666,0
57296,6.0,0,6.0,0.0,0
57297,6.0,0,6.0,0.0,0
57298,6.0,0,6.0,0.0,0
57299,2.0,0,1.0,0.0,0
57300,6.0,0,6.0,0.0,0
57301,6.0,0,6.0,0.0,0
57302,6.0,0,6.0,0.0,0
57303,6.0,0,6.0,0.0,0
57304,6.0,0,6.0,0.0,0
57305,6.0,0,6.0,0.0,0
57306,6.0,0,6.0,0.0,0
57307,1.0,0,0.0,1.75,0
57308,6.0,0,6.0,0.0,0
57309,6.0,0,6.0,0.0,0
57310,5.0,0,6.0,0.21428571428571427,0
57311,5.0,0,4.0,0.21428571428571427,0
57312,6.0,0,6.0,0.0,0
57313,6.0,0,6.0,0.0,0
57314,6.0,0,6.0,0.0,0
57315,4.0,0,4.0,0.3076923076923077,0
57316,6.0,0,6.0,0.0,0
57317,6.0,0,6.0,0.0,0
57318,6.0,0,6.0,0.0,0
57319,6.0,0,6.0,0.0,0
57320,6.0,0,6.0,0.0,0
57321,6.0,0,6.0,0.0,0
57322,6.0,0,6.0,0.0,0
57323,6.0,0,6.0,0.0,0
57324,4.0,0,0.0,0.21428571428571427,0
57325,6.0,0,1.0,0.0,0
57326,2.0,0,2.0,0.5454545454545454,0
57327,5.0,0,0.0,0.0625,0
57328,6.0,0,6.0,0.0,0
57329,5.0,0,2.0,0.75,0
57330,6.0,0,6.0,0.0,0
57331,6.0,0,6.0,0.0,0
57332,6.0,0,6.0,0.0,0
57333,6.0,0,6.0,0.0,0
57334,6.0,0,6.0,0.0,0
57335,6.0,0,6.0,0.0,0
57336,5.0,0,5.0,0.3636363636363637,0
57337,5.0,0,2.0,0.3636363636363637,0
57338,4.0,0,2.0,0.3076923076923077,0
57339,6.0,0,6.0,0.0,0
57340,6.0,0,6.0,0.0,0
57341,6.0,0,6.0,0.0,0
57342,6.0,0,6.0,0.0,0
57343,6.0,0,2.0,0.0,0
57344,6.0,0,6.0,0.0,0
57345,6.0,0,6.0,0.0,0
57346,4.0,0,4.0,0.3076923076923077,0
57347,6.0,0,6.0,0.0,0
57348,6.0,0,6.0,0.0,0
57349,6.0,0,6.0,0.0,0
57350,6.0,0,6.0,0.0,0
57351,6.0,0,6.0,0.0,0
57352,2.0,0,1.0,1.125,0
57353,6.0,0,6.0,0.0,0
57354,6.0,0,6.0,0.0,0
57355,6.0,0,6.0,0.0,0
57356,6.0,0,6.0,0.0,0
57357,6.0,0,6.0,0.0,0
57358,1.0,0,0.0,18.0,1
57359,6.0,0,6.0,0.21428571428571427,0
57360,6.0,0,6.0,0.0,0
57361,6.0,0,6.0,0.0,0
57362,6.0,0,6.0,0.0,0
57363,6.0,0,6.0,0.0,0
57364,1.0,0,0.0,18.0,0
57365,6.0,0,6.0,0.0,0
57366,6.0,0,6.0,0.0,0
57367,4.0,0,4.0,0.3076923076923077,0
57368,6.0,0,6.0,0.0,0
57369,6.0,0,6.0,0.0,0
57370,6.0,0,6.0,0.21428571428571427,0
57371,6.0,0,6.0,0.0,0
57372,6.0,0,6.0,1.0,0
57373,3.0,0,0.0,1.5,0
57374,6.0,0,6.0,0.0,0
57375,6.0,0,6.0,0.0,0
57376,6.0,0,6.0,0.0,0
57377,6.0,0,1.0,0.0,0
57378,6.0,0,6.0,0.0,0
57379,4.0,2,5.0,0.15384615384615385,0
57380,6.0,0,4.0,0.0,0
57381,6.0,0,0.0,0.0,0
57382,6.0,0,6.0,0.21428571428571427,0
57383,6.0,0,6.0,0.0,0
57384,1.0,0,1.0,0.5454545454545454,0
57385,6.0,0,6.0,0.0,0
57386,1.0,0,0.0,18.0,1
57387,1.0,0,1.0,18.0,0
57388,1.0,0,0.0,1.125,0
57389,6.0,0,6.0,0.0,0
57390,6.0,0,1.0,0.4166666666666667,0
57391,6.0,0,6.0,0.0,0
57392,6.0,0,6.0,0.0,0
57393,6.0,0,6.0,0.0,0
57394,6.0,0,6.0,0.0,0
57395,6.0,0,6.0,0.0,0
57396,6.0,0,6.0,0.0,0
57397,6.0,0,5.0,0.0,0
57398,1.0,0,1.0,2.5,1
57399,6.0,0,6.0,0.0,0
57400,6.0,0,6.0,0.0,0
57401,6.0,0,6.0,0.0,0
57402,6.0,0,4.0,0.0,0
